date, rr, since start
2016-09-22 20:42:20 +0000,882,1764
2016-09-22 20:42:20 +0000,882,2646
2016-09-22 20:42:21 +0000,882,3528
2016-09-22 20:42:21 +0000,882,4410
2016-09-22 20:42:22 +0000,869,5279
2016-09-22 20:42:23 +0000,869,6148
2016-09-22 20:42:24 +0000,882,7030
2016-09-22 20:42:25 +0000,882,7912
2016-09-22 20:42:26 +0000,882,8794
2016-09-22 20:42:27 +0000,882,9676
2016-09-22 20:42:28 +0000,895,10571
2016-09-22 20:42:29 +0000,895,11466
2016-09-22 20:42:29 +0000,895,12361
2016-09-22 20:42:30 +0000,895,13256
2016-09-22 20:42:31 +0000,895,14151
2016-09-22 20:42:32 +0000,895,15046
2016-09-22 20:42:33 +0000,895,15941
2016-09-22 20:42:34 +0000,909,16850
2016-09-22 20:42:35 +0000,922,17772
2016-09-22 20:42:36 +0000,937,18709
2016-09-22 20:42:37 +0000,937,19646
2016-09-22 20:42:38 +0000,937,20583
2016-09-22 20:42:39 +0000,937,21520
2016-09-22 20:42:40 +0000,922,22442
2016-09-22 20:42:40 +0000,922,23364
2016-09-22 20:42:41 +0000,937,24301
2016-09-22 20:42:42 +0000,952,25253
2016-09-22 20:42:43 +0000,952,26205
2016-09-22 20:42:44 +0000,952,27157
2016-09-22 20:42:45 +0000,967,28124
2016-09-22 20:42:46 +0000,983,29107
2016-09-22 20:42:47 +0000,983,30090
2016-09-22 20:42:48 +0000,967,31057
2016-09-22 20:42:49 +0000,967,32024
2016-09-22 20:42:51 +0000,967,32991
2016-09-22 20:42:52 +0000,967,33958
2016-09-22 20:42:53 +0000,967,34925
2016-09-22 20:42:54 +0000,983,35908
2016-09-22 20:42:55 +0000,983,36891
2016-09-22 20:42:56 +0000,983,37874
2016-09-22 20:42:57 +0000,967,38841
2016-09-22 20:42:58 +0000,967,39808
2016-09-22 20:42:59 +0000,967,40775
2016-09-22 20:43:00 +0000,967,41742
2016-09-22 20:43:01 +0000,937,42679
2016-09-22 20:43:02 +0000,937,43616
2016-09-22 20:43:03 +0000,937,44553
2016-09-22 20:43:04 +0000,937,45490
2016-09-22 20:43:05 +0000,937,46427
2016-09-22 20:43:05 +0000,937,47364
2016-09-22 20:43:06 +0000,922,48286
2016-09-22 20:43:07 +0000,922,49208
2016-09-22 20:43:08 +0000,922,50130
2016-09-22 20:43:10 +0000,937,51067
2016-09-22 20:43:12 +0000,922,51989
2016-09-22 20:43:13 +0000,909,52898
2016-09-22 20:43:15 +0000,937,53835
2016-09-22 20:43:16 +0000,952,54787
2016-09-22 20:43:18 +0000,937,55724
2016-09-22 20:43:19 +0000,937,56661
2016-09-22 20:43:19 +0000,937,57598
2016-09-22 20:43:20 +0000,937,58535
2016-09-22 20:43:21 +0000,952,59487
2016-09-22 20:43:22 +0000,952,60439
2016-09-22 20:43:23 +0000,952,61391
2016-09-22 20:43:24 +0000,952,62343
2016-09-22 20:43:25 +0000,967,63310
2016-09-22 20:43:26 +0000,967,64277
2016-09-22 20:43:27 +0000,952,65229
2016-09-22 20:43:28 +0000,952,66181
2016-09-22 20:43:29 +0000,952,67133
2016-09-22 20:43:30 +0000,952,68085
2016-09-22 20:43:31 +0000,952,69037
2016-09-22 20:43:32 +0000,952,69989
2016-09-22 20:43:33 +0000,952,70941
