date, rr, since start
2016-09-22 20:13:07 +0000, 722, 1444
2016-09-22 20:13:07 +0000, 713, 2157
2016-09-22 20:13:09 +0000, 697, 2854
2016-09-22 20:13:09 +0000, 659, 3513
2016-09-22 20:13:09 +0000, 666, 4179
2016-09-22 20:13:11 +0000, 697, 4876
2016-09-22 20:13:11 +0000, 740, 5616
2016-09-22 20:13:11 +0000, 778, 6394
2016-09-22 20:13:14 +0000, 881, 7275
2016-09-22 20:13:14 +0000, 895, 8170
2016-09-22 20:13:16 +0000, 844, 9014
2016-09-22 20:13:16 +0000, 789, 9803
2016-09-22 20:13:16 +0000, 758, 10561
2016-09-22 20:13:17 +0000, 740, 11301
2016-09-22 20:13:17 +0000, 799, 12100
2016-09-22 20:13:20 +0000, 856, 12956
2016-09-22 20:13:20 +0000, 869, 13825
2016-09-22 20:13:20 +0000, 856, 14681
2016-09-22 20:13:21 +0000, 895, 15576
2016-09-22 20:13:21 +0000, 895, 16471
2016-09-22 20:13:23 +0000, 810, 17281
2016-09-22 20:13:23 +0000, 821, 18102
2016-09-22 20:13:25 +0000, 799, 18901
2016-09-22 20:13:25 +0000, 799, 19700
2016-09-22 20:13:25 +0000, 908, 20608
2016-09-22 20:13:27 +0000, 937, 21545
2016-09-22 20:13:27 +0000, 922, 22467
2016-09-22 20:13:29 +0000, 937, 23404
2016-09-22 20:13:29 +0000, 966, 24370
2016-09-22 20:13:31 +0000, 937, 25307
2016-09-22 20:13:31 +0000, 856, 26163
2016-09-22 20:13:34 +0000, 833, 26996
2016-09-22 20:13:34 +0000, 799, 27795
2016-09-22 20:13:34 +0000, 768, 28563
2016-09-22 20:13:35 +0000, 799, 29362
2016-09-22 20:13:35 +0000, 844, 30206
2016-09-22 20:13:38 +0000, 869, 31075
2016-09-22 20:13:38 +0000, 869, 31944
2016-09-22 20:13:38 +0000, 895, 32839
2016-09-22 20:13:39 +0000, 922, 33761
2016-09-22 20:13:39 +0000, 844, 34605
2016-09-22 20:13:41 +0000, 856, 35461
2016-09-22 20:13:41 +0000, 821, 36282
2016-09-22 20:13:43 +0000, 799, 37081
2016-09-22 20:13:43 +0000, 856, 37937
2016-09-22 20:13:43 +0000, 856, 38793
2016-09-22 20:13:46 +0000, 833, 39626
2016-09-22 20:13:46 +0000, 810, 40436
2016-09-22 20:13:47 +0000, 789, 41225
2016-09-22 20:13:47 +0000, 810, 42035
2016-09-22 20:13:47 +0000, 833, 42868
2016-09-22 20:13:49 +0000, 821, 43689
2016-09-22 20:13:49 +0000, 833, 44522
2016-09-22 20:13:52 +0000, 881, 45403
2016-09-22 20:13:52 +0000, 856, 46259
2016-09-22 20:13:52 +0000, 810, 47069
2016-09-22 20:13:53 +0000, 778, 47847
2016-09-22 20:13:53 +0000, 758, 48605
2016-09-22 20:13:56 +0000, 768, 49373
2016-09-22 20:13:56 +0000, 768, 50141
2016-09-22 20:13:56 +0000, 768, 50909
2016-09-22 20:13:57 +0000, 758, 51667
2016-09-22 20:13:57 +0000, 778, 52445
2016-09-22 20:13:59 +0000, 789, 53234
2016-09-22 20:13:59 +0000, 856, 54090
2016-09-22 20:13:59 +0000, 844, 54934
2016-09-22 20:14:01 +0000, 810, 55744
2016-09-22 20:14:01 +0000, 799, 56543
2016-09-22 20:14:03 +0000, 833, 57376
2016-09-22 20:14:03 +0000, 833, 58209
2016-09-22 20:14:03 +0000, 833, 59042
2016-09-22 20:14:05 +0000, 810, 59852
2016-09-22 20:14:05 +0000, 821, 60673
2016-09-22 20:14:07 +0000, 833, 61506
2016-09-22 20:14:07 +0000, 799, 62305
2016-09-22 20:14:07 +0000, 778, 63083
2016-09-22 20:14:10 +0000, 768, 63851
2016-09-22 20:14:10 +0000, 778, 64629
2016-09-22 20:14:11 +0000, 778, 65407
2016-09-22 20:14:11 +0000, 731, 66138
2016-09-22 20:14:11 +0000, 681, 66819
2016-09-22 20:14:14 +0000, 697, 67516
2016-09-22 20:14:14 +0000, 705, 68221
2016-09-22 20:14:14 +0000, 713, 68934
2016-09-22 20:14:15 +0000, 740, 69674
2016-09-22 20:14:15 +0000, 778, 70452
2016-09-22 20:14:17 +0000, 789, 71241
2016-09-22 20:14:17 +0000, 789, 72030
2016-09-22 20:14:17 +0000, 789, 72819
2016-09-22 20:14:19 +0000, 810, 73629
2016-09-22 20:14:19 +0000, 881, 74510
2016-09-22 20:14:21 +0000, 908, 75418
2016-09-22 20:14:21 +0000, 895, 76313
2016-09-22 20:14:21 +0000, 844, 77157
2016-09-22 20:14:23 +0000, 799, 77956
2016-09-22 20:14:23 +0000, 810, 78766
2016-09-22 20:14:25 +0000, 856, 79622
2016-09-22 20:14:25 +0000, 833, 80455
2016-09-22 20:14:25 +0000, 821, 81276
2016-09-22 20:14:28 +0000, 778, 82054
2016-09-22 20:14:28 +0000, 799, 82853
2016-09-22 20:14:32 +0000, 922, 83775
2016-09-22 20:14:32 +0000, 922, 84697
2016-09-22 20:14:33 +0000, 922, 85619
2016-09-22 20:14:33 +0000, 937, 86556
2016-09-22 20:14:35 +0000, 895, 87451
2016-09-22 20:14:35 +0000, 881, 88332
2016-09-22 20:14:35 +0000, 881, 89213
2016-09-22 20:14:37 +0000, 856, 90069
2016-09-22 20:14:37 +0000, 856, 90925
2016-09-22 20:14:39 +0000, 869, 91794
2016-09-22 20:14:39 +0000, 810, 92604
2016-09-22 20:14:39 +0000, 778, 93382
2016-09-22 20:14:42 +0000, 789, 94171
2016-09-22 20:14:42 +0000, 908, 95079
2016-09-22 20:14:43 +0000, 1034, 96113
2016-09-22 20:14:43 +0000, 966, 97079
2016-09-22 20:14:46 +0000, 922, 98001
2016-09-22 20:14:46 +0000, 895, 98896
2016-09-22 20:14:47 +0000, 922, 99818
2016-09-22 20:14:47 +0000, 937, 100755
2016-09-22 20:14:50 +0000, 881, 101636
2016-09-22 20:14:50 +0000, 844, 102480
2016-09-22 20:14:50 +0000, 810, 103290
2016-09-22 20:14:51 +0000, 778, 104068
2016-09-22 20:14:51 +0000, 810, 104878
2016-09-22 20:14:53 +0000, 937, 105815
2016-09-22 20:14:53 +0000, 869, 106684
2016-09-22 20:14:53 +0000, 789, 107473
2016-09-22 20:14:55 +0000, 731, 108204
2016-09-22 20:14:55 +0000, 750, 108954
2016-09-22 20:14:57 +0000, 768, 109722
2016-09-22 20:14:57 +0000, 821, 110543
2016-09-22 20:14:57 +0000, 937, 111480
2016-09-22 20:15:00 +0000, 922, 112402
