date, rr, since_start, window, lap
2016-09-22 20:13:06 +0000,710,1403,1,0
2016-09-22 20:13:07 +0000,741,2144,1,0
2016-09-22 20:13:07 +0000,733,2877,1,0
2016-09-22 20:13:08 +0000,712,3589,1,0
2016-09-22 20:13:09 +0000,678,4267,1,0
2016-09-22 20:13:09 +0000,684,4951,1,0
2016-09-22 20:13:10 +0000,698,5649,1,0
2016-09-22 20:13:11 +0000,739,6388,1,0
2016-09-22 20:13:12 +0000,786,7174,1,0
2016-09-22 20:13:12 +0000,889,8063,1,0
2016-09-22 20:13:13 +0000,911,8974,1,0
2016-09-22 20:13:14 +0000,852,9826,1,0
2016-09-22 20:13:15 +0000,798,10624,1,0
2016-09-22 20:13:16 +0000,769,11393,2,0
2016-09-22 20:13:16 +0000,761,12154,2,0
2016-09-22 20:13:17 +0000,812,12966,2,0
2016-09-22 20:13:18 +0000,880,13846,2,0
2016-09-22 20:13:19 +0000,880,14726,2,0
2016-09-22 20:13:20 +0000,867,15593,2,0
2016-09-22 20:13:21 +0000,907,16500,2,0
2016-09-22 20:13:22 +0000,918,17418,2,0
2016-09-22 20:13:22 +0000,852,18270,2,0
2016-09-22 20:13:23 +0000,825,19095,2,0
2016-09-22 20:13:24 +0000,812,19907,2,0
2016-09-22 20:13:25 +0000,812,20719,2,0
2016-09-22 20:13:26 +0000,909,21628,3,0
2016-09-22 20:13:27 +0000,960,22588,3,0
2016-09-22 20:13:28 +0000,939,23527,3,0
2016-09-22 20:13:28 +0000,941,24468,3,0
2016-09-22 20:13:29 +0000,970,25438,3,0
2016-09-22 20:13:30 +0000,958,26396,3,0
2016-09-22 20:13:31 +0000,888,27284,3,0
2016-09-22 20:13:32 +0000,841,28125,3,0
2016-09-22 20:13:33 +0000,814,28939,3,0
2016-09-22 20:13:34 +0000,791,29730,3,0
2016-09-22 20:13:34 +0000,810,30540,3,0
2016-09-22 20:13:35 +0000,871,31411,3,0
2016-09-22 20:13:36 +0000,874,32285,4,0
2016-09-22 20:13:37 +0000,880,33165,4,0
2016-09-22 20:13:38 +0000,913,34078,4,0
2016-09-22 20:13:39 +0000,943,35021,4,0
2016-09-22 20:13:40 +0000,876,35897,4,0
2016-09-22 20:13:40 +0000,853,36750,4,0
2016-09-22 20:13:41 +0000,833,37583,4,0
2016-09-22 20:13:42 +0000,819,38402,4,0
2016-09-22 20:13:43 +0000,872,39274,4,0
2016-09-22 20:13:44 +0000,883,40157,4,0
2016-09-22 20:13:45 +0000,832,40989,4,0
2016-09-22 20:13:45 +0000,821,41810,4,0
2016-09-22 20:13:46 +0000,815,42625,5,0
2016-09-22 20:13:47 +0000,832,43457,5,0
2016-09-22 20:13:48 +0000,847,44304,5,0
2016-09-22 20:13:49 +0000,834,45138,5,0
2016-09-22 20:13:49 +0000,848,45986,5,0
2016-09-22 20:13:50 +0000,888,46874,5,0
2016-09-22 20:13:51 +0000,888,47762,5,0
2016-09-22 20:13:52 +0000,825,48587,5,0
2016-09-22 20:13:53 +0000,784,49371,5,0
2016-09-22 20:13:53 +0000,773,50144,5,0
2016-09-22 20:13:54 +0000,793,50937,5,0
2016-09-22 20:13:55 +0000,793,51730,5,0
2016-09-22 20:13:56 +0000,773,52503,6,0
2016-09-22 20:13:56 +0000,765,53268,6,0
2016-09-22 20:13:57 +0000,786,54054,6,0
2016-09-22 20:13:58 +0000,807,54861,6,0
2016-09-22 20:13:59 +0000,879,55740,6,0
2016-09-22 20:14:00 +0000,847,56587,6,0
2016-09-22 20:14:01 +0000,816,57403,6,0
2016-09-22 20:14:01 +0000,817,58220,6,0
2016-09-22 20:14:02 +0000,850,59070,6,0
2016-09-22 20:14:03 +0000,861,59931,6,0
2016-09-22 20:14:04 +0000,828,60759,6,0
2016-09-22 20:14:05 +0000,814,61573,6,0
2016-09-22 20:14:05 +0000,829,62402,6,0
2016-09-22 20:14:06 +0000,855,63257,7,0
2016-09-22 20:14:07 +0000,825,64082,7,0
2016-09-22 20:14:08 +0000,781,64863,7,0
2016-09-22 20:14:09 +0000,775,65638,7,0
2016-09-22 20:14:09 +0000,798,66436,7,0
2016-09-22 20:14:10 +0000,802,67238,7,0
2016-09-22 20:14:11 +0000,759,67997,7,0
2016-09-22 20:14:12 +0000,710,68707,7,0
2016-09-22 20:14:12 +0000,699,69406,7,0
2016-09-22 20:14:13 +0000,709,70115,7,0
2016-09-22 20:14:14 +0000,725,70840,7,0
2016-09-22 20:14:14 +0000,751,71591,7,0
2016-09-22 20:14:15 +0000,793,72384,7,0
2016-09-22 20:14:16 +0000,811,73195,8,0
2016-09-22 20:14:17 +0000,790,73985,8,0
2016-09-22 20:14:17 +0000,788,74773,8,0
2016-09-22 20:14:18 +0000,827,75600,8,0
2016-09-22 20:14:19 +0000,894,76494,8,0
2016-09-22 20:14:20 +0000,927,77421,8,0
2016-09-22 20:14:21 +0000,905,78326,8,0
2016-09-22 20:14:22 +0000,856,79182,8,0
2016-09-22 20:14:23 +0000,818,80000,8,0
2016-09-22 20:14:23 +0000,831,80831,8,0
2016-09-22 20:14:24 +0000,878,81709,8,0
2016-09-22 20:14:25 +0000,869,82578,8,0
2016-09-22 20:14:26 +0000,817,83395,9,0
2016-09-22 20:14:27 +0000,787,84182,9,0
2016-09-22 20:14:27 +0000,818,85000,9,0
2016-09-22 20:14:28 +0000,1005,86005,9,0
2016-09-22 20:14:29 +0000,1002,87007,9,0
2016-09-22 20:14:30 +0000,929,87936,9,0
2016-09-22 20:14:31 +0000,937,88873,9,0
2016-09-22 20:14:32 +0000,938,89811,9,0
2016-09-22 20:14:33 +0000,946,90757,9,0
2016-09-22 20:14:34 +0000,923,91680,9,0
2016-09-22 20:14:35 +0000,895,92575,9,0
2016-09-22 20:14:36 +0000,883,93458,10,0
2016-09-22 20:14:37 +0000,871,94329,10,0
2016-09-22 20:14:37 +0000,873,95202,10,0
2016-09-22 20:14:38 +0000,891,96093,10,0
2016-09-22 20:14:39 +0000,833,96926,10,0
2016-09-22 20:14:40 +0000,787,97713,10,0
2016-09-22 20:14:41 +0000,799,98512,10,0
2016-09-22 20:14:42 +0000,920,99432,10,0
2016-09-22 20:14:43 +0000,1040,100472,10,0
2016-09-22 20:14:44 +0000,1007,101479,10,0
2016-09-22 20:14:44 +0000,931,102410,10,0
2016-09-22 20:14:45 +0000,909,103319,10,0
2016-09-22 20:14:46 +0000,937,104256,11,0
2016-09-22 20:14:47 +0000,950,105206,11,0
2016-09-22 20:14:48 +0000,910,106116,11,0
2016-09-22 20:14:49 +0000,855,106971,11,0
2016-09-22 20:14:50 +0000,823,107794,11,0
2016-09-22 20:14:50 +0000,797,108591,11,0
