date, rr, since start
2016-09-22 20:13:07 +0000, 844, 1688
2016-09-22 20:13:08 +0000, 833, 2521
2016-09-22 20:13:09 +0000, 810, 3331
2016-09-22 20:13:10 +0000, 778, 4109
2016-09-22 20:13:11 +0000, 750, 4859
2016-09-22 20:13:12 +0000, 731, 5590
2016-09-22 20:13:13 +0000, 713, 6303
2016-09-22 20:13:15 +0000, 705, 7008
2016-09-22 20:13:16 +0000, 705, 7713
2016-09-22 20:13:17 +0000, 705, 8418
2016-09-22 20:13:18 +0000, 731, 9149
2016-09-22 20:13:19 +0000, 740, 9889
2016-09-22 20:13:20 +0000, 758, 10647
2016-09-22 20:13:21 +0000, 778, 11425
2016-09-22 20:13:22 +0000, 789, 12214
2016-09-22 20:13:23 +0000, 810, 13024
2016-09-22 20:13:24 +0000, 821, 13845
2016-09-22 20:13:25 +0000, 844, 14689
2016-09-22 20:13:26 +0000, 844, 15533
2016-09-22 20:13:27 +0000, 844, 16377
2016-09-22 20:13:28 +0000, 844, 17221
2016-09-22 20:13:29 +0000, 844, 18065
2016-09-22 20:13:30 +0000, 844, 18909
2016-09-22 20:13:31 +0000, 869, 19778
2016-09-22 20:13:32 +0000, 881, 20659
2016-09-22 20:13:33 +0000, 908, 21567
2016-09-22 20:13:34 +0000, 908, 22475
2016-09-22 20:13:35 +0000, 908, 23383
2016-09-22 20:13:36 +0000, 881, 24264
2016-09-22 20:13:37 +0000, 856, 25120
2016-09-22 20:13:38 +0000, 844, 25964
2016-09-22 20:13:39 +0000, 833, 26797
2016-09-22 20:13:40 +0000, 833, 27630
2016-09-22 20:13:41 +0000, 844, 28474
2016-09-22 20:13:42 +0000, 856, 29330
2016-09-22 20:13:43 +0000, 869, 30199
2016-09-22 20:13:44 +0000, 869, 31068
2016-09-22 20:13:45 +0000, 856, 31924
2016-09-22 20:13:46 +0000, 844, 32768
2016-09-22 20:13:47 +0000, 844, 33612
2016-09-22 20:13:48 +0000, 833, 34445
2016-09-22 20:13:49 +0000, 833, 35278
2016-09-22 20:13:50 +0000, 833, 36111
2016-09-22 20:13:51 +0000, 821, 36932
2016-09-22 20:13:52 +0000, 821, 37753
2016-09-22 20:13:53 +0000, 833, 38586
2016-09-22 20:13:54 +0000, 833, 39419
2016-09-22 20:13:55 +0000, 833, 40252
2016-09-22 20:13:57 +0000, 821, 41073
2016-09-22 20:13:58 +0000, 799, 41872
2016-09-22 20:13:59 +0000, 789, 42661
2016-09-22 20:14:00 +0000, 778, 43439
2016-09-22 20:14:01 +0000, 778, 44217
2016-09-22 20:14:02 +0000, 778, 44995
2016-09-22 20:14:03 +0000, 789, 45784
2016-09-22 20:14:04 +0000, 799, 46583
2016-09-22 20:14:05 +0000, 810, 47393
2016-09-22 20:14:06 +0000, 821, 48214
2016-09-22 20:14:07 +0000, 821, 49035
2016-09-22 20:14:08 +0000, 821, 49856
2016-09-22 20:14:09 +0000, 821, 50677
2016-09-22 20:14:10 +0000, 810, 51487
2016-09-22 20:14:11 +0000, 810, 52297
2016-09-22 20:14:12 +0000, 810, 53107
2016-09-22 20:14:13 +0000, 799, 53906
2016-09-22 20:14:14 +0000, 778, 54684
2016-09-22 20:14:15 +0000, 768, 55452
2016-09-22 20:14:16 +0000, 750, 56202
2016-09-22 20:14:17 +0000, 740, 56942
2016-09-22 20:14:18 +0000, 731, 57673
2016-09-22 20:14:19 +0000, 731, 58404
2016-09-22 20:14:20 +0000, 740, 59144
2016-09-22 20:14:21 +0000, 750, 59894
2016-09-22 20:14:22 +0000, 768, 60662
2016-09-22 20:14:23 +0000, 789, 61451
2016-09-22 20:14:24 +0000, 810, 62261
2016-09-22 20:14:25 +0000, 833, 63094
2016-09-22 20:14:26 +0000, 844, 63938
2016-09-22 20:14:27 +0000, 844, 64782
2016-09-22 20:14:28 +0000, 844, 65626
2016-09-22 20:14:29 +0000, 833, 66459
2016-09-22 20:14:30 +0000, 833, 67292
2016-09-22 20:14:31 +0000, 833, 68125
2016-09-22 20:14:32 +0000, 844, 68969
2016-09-22 20:14:33 +0000, 869, 69838
2016-09-22 20:14:34 +0000, 881, 70719
2016-09-22 20:14:35 +0000, 908, 71627
2016-09-22 20:14:36 +0000, 922, 72549
2016-09-22 20:14:37 +0000, 922, 73471
2016-09-22 20:14:39 +0000, 908, 74379
2016-09-22 20:14:40 +0000, 895, 75274
2016-09-22 20:14:41 +0000, 881, 76155
2016-09-22 20:14:42 +0000, 869, 77024
2016-09-22 20:14:43 +0000, 856, 77880
2016-09-22 20:14:44 +0000, 844, 78724
2016-09-22 20:14:45 +0000, 844, 79568
2016-09-22 20:14:46 +0000, 844, 80412
2016-09-22 20:14:47 +0000, 856, 81268
2016-09-22 20:14:48 +0000, 881, 82149
2016-09-22 20:14:49 +0000, 895, 83044
2016-09-22 20:14:50 +0000, 908, 83952
2016-09-22 20:14:51 +0000, 908, 84860
2016-09-22 20:14:52 +0000, 895, 85755
2016-09-22 20:14:53 +0000, 881, 86636
2016-09-22 20:14:54 +0000, 869, 87505
2016-09-22 20:14:55 +0000, 844, 88349
2016-09-22 20:14:56 +0000, 844, 89193
2016-09-22 20:14:57 +0000, 844, 90037
2016-09-22 20:14:58 +0000, 833, 90870
2016-09-22 20:14:59 +0000, 821, 91691
2016-09-22 20:15:00 +0000, 799, 92490
2016-09-22 20:15:01 +0000, 799, 93289
2016-09-22 20:15:02 +0000, 799, 94088
2016-09-22 20:15:03 +0000, 810, 94898
2016-09-22 20:15:04 +0000, 821, 95719
2016-09-22 20:15:05 +0000, 833, 96552
2016-09-22 20:15:06 +0000, 833, 97385
2016-09-22 20:15:07 +0000, 821, 98206
2016-09-22 20:15:08 +0000, 821, 99027
2016-09-22 20:15:09 +0000, 821, 99848
2016-09-22 20:15:10 +0000, 799, 100647
2016-09-22 20:15:11 +0000, 789, 101436
2016-09-22 20:15:12 +0000, 778, 102214
2016-09-22 20:15:13 +0000, 778, 102992
2016-09-22 20:15:14 +0000, 789, 103781
2016-09-22 20:15:15 +0000, 799, 104580
2016-09-22 20:15:16 +0000, 799, 105379
2016-09-22 20:15:17 +0000, 799, 106178
2016-09-22 20:15:18 +0000, 778, 106956
2016-09-22 20:15:19 +0000, 768, 107724
2016-09-22 20:15:21 +0000, 750, 108474
2016-09-22 20:15:22 +0000, 750, 109224
2016-09-22 20:15:23 +0000, 750, 109974
2016-09-22 20:15:24 +0000, 750, 110724
2016-09-22 20:15:25 +0000, 768, 111492
2016-09-22 20:15:26 +0000, 778, 112270
2016-09-22 20:15:27 +0000, 789, 113059
2016-09-22 20:15:28 +0000, 789, 113848
2016-09-22 20:15:29 +0000, 789, 114637
2016-09-22 20:15:30 +0000, 789, 115426
2016-09-22 20:15:31 +0000, 750, 116176
2016-09-22 20:15:32 +0000, 750, 116926
2016-09-22 20:15:33 +0000, 750, 117676
2016-09-22 20:15:34 +0000, 758, 118434
2016-09-22 20:15:35 +0000, 768, 119202
2016-09-22 20:15:36 +0000, 768, 119970
2016-09-22 20:15:37 +0000, 750, 120720
2016-09-22 20:15:38 +0000, 740, 121460
2016-09-22 20:15:39 +0000, 722, 122182
2016-09-22 20:15:40 +0000, 722, 122904
2016-09-22 20:15:41 +0000, 722, 123626
2016-09-22 20:15:42 +0000, 740, 124366
2016-09-22 20:15:43 +0000, 750, 125116
2016-09-22 20:15:44 +0000, 750, 125866
2016-09-22 20:15:45 +0000, 740, 126606
2016-09-22 20:15:46 +0000, 722, 127328
2016-09-22 20:15:47 +0000, 713, 128041
2016-09-22 20:15:48 +0000, 697, 128738
2016-09-22 20:15:49 +0000, 697, 129435
2016-09-22 20:15:50 +0000, 705, 130140
2016-09-22 20:15:51 +0000, 713, 130853
2016-09-22 20:15:52 +0000, 722, 131575
2016-09-22 20:15:53 +0000, 731, 132306
2016-09-22 20:15:54 +0000, 722, 133028
2016-09-22 20:15:55 +0000, 705, 133733
2016-09-22 20:15:56 +0000, 697, 134430
2016-09-22 20:15:57 +0000, 681, 135111
2016-09-22 20:15:58 +0000, 681, 135792
2016-09-22 20:15:59 +0000, 681, 136473
